Registered Corporations,Total scope 1 greenhouse gas emissions (t CO2-3),Total scope 2 greenhouse gas emissions (t CO2-3),Total energy consumption (GJ)
Woolworths Ltd,"357,961","2,470,480","10,451,985"
Xstrata Holdings Pty Ltd,"2,692,486","1,130,619","18,504,353"
Yancoal Australia Pty Limited,"252,509","76,285","2,088,207"
Oceanic Coal Australia Limited,"35,359",263,"45,060"
Peabody (Burton Coal) Pty Ltd,"134,806","28,834","1,213,192"
Wilpinjong Coal Pty Ltd,"494,168","22,135","709,059"
Xstrata Coal Queensland Pty Limited,"158,544","43,000","1,136,071"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
