Controlling Corporation ,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Total Net Energy consumed  (GJ),Important Notes
LA TROBE UNIVERSITY,64804735113,"21,740","37,825","483,732","These corporations have voluntarily provided information to the Clean Energy Regulator concerning GreenPower renewable energy purchases, voluntarily surrendered Renewable Energy Certificates or offset scope 2 greenhouse gas emissions totals. For further information refer to the separate table for GreenPower purchases, Renewable Energy Certificates and offset scope 2 emission totals 2013-14 report."
LANCO RESOURCES AUSTRALIA PTY LTD,30147835452,"45,409","8,075","688,381",N/A
LDO Coal,60140669932,"284,639","18,447","102,391",N/A
LEIGHTON HOLDINGS LIMITED,57004482982,"153,239","92,522","2,604,328",N/A
LEND LEASE CORPORATION LTD,32000226228,"101,801","129,152","2,039,181",N/A
Lindsay Australia Limited,81061642733,"93,611",0,"1,360,838",N/A
LINFOX PROPRIETARY LIMITED,59004667298,"219,156",0,"3,326,902",N/A
LION PTY LTD,50128004268,"78,594","211,134","2,346,676",N/A
LOY YANG HOLDINGS PTY LTD,60057361805,"8,718,191","3,944","70,240,769",N/A
LyondellBasell Australia (Holdings) Pty Ltd,74066270237,"5,525","112,756","1,485,327",N/A
MACKAY SUGAR LIMITED,12057463671,"112,872","9,101","17,127,201",N/A
Macquarie Generation,18402904344,"20,171,437","202,132","148,796,640",N/A
Manildra Milling Pty Ltd,73002724021,"287,957","266,639","6,233,088",N/A
MARS AUSTRALIA PTY LTD,48008454313,"31,085","80,755","864,813",N/A
MATER MISERICORDIAE HEALTH SERVICES BRISBANE LIMITED,83096708922,"11,322","41,173","327,761",N/A
McAleese Limited,86156354068,"221,742","5,215","3,212,307",N/A
MCCAIN FOODS (AUST) PTY LTD,96000629587,"31,223","78,463","1,075,145",N/A
McDonald's Australia Ltd,43008496928,"1,287","104,772","441,124",N/A
Melbourne Water Corporation,81945386953,"107,150","234,952","1,552,935",N/A
Metals X Limited,110150055,"56,703","21,967","935,281",N/A
METCASH LIMITED,32112073480,"8,776","83,097","453,992",N/A
METRO TRAINS MELBOURNE PTY LTD,43136429948,"6,028","504,277","1,634,622",N/A
METROPOLITAN HEALTH SERVICE,13993250709,"24,935","131,941","1,077,666",N/A
Mineral Resources Limited,33118549910,"73,288","2,620","1,069,616",N/A
MIRVAC LIMITED,92003280699,"11,432","69,200","456,563",N/A
MMG MANAGEMENT PTY LTD,33115312680,"170,459","343,621","4,726,962",N/A
MONASH HEALTH,82142080338,"10,834","62,091","403,726",N/A
MONASH UNIVERSITY,12377614012,"18,024","116,247","701,842",N/A
MONDELEZ AUSTRALIA HOLDINGS PTY LTD,86004880817,"30,643","67,899","901,901",N/A
MOUNT GIBSON IRON LIMITED,87008670817,"124,296","2,362","1,867,201",N/A
Multinet Group Holdings Pty Ltd,83104036937,"259,427","1,426","828,232",N/A
Murray Goulburn Co-operative Co. Limited,23004277089,"141,982","426,815","4,728,939",N/A
Myer Holdings Limited,14119085602,"1,691","171,843","720,528",N/A
NATIONAL AUSTRALIA BANK LIMITED,12004044937,"11,433","133,589","668,816",N/A
NCIG HOLDINGS PTY LTD,98124700483,"2,274","64,862","300,947",N/A
NESTLE AUSTRALIA LTD,77000011316,"35,018","127,336","1,552,755",N/A
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD,23003502654,"129,081","146,805","2,896,619",N/A
Newcrest Mining Limited,20005683625,"518,420","770,100","12,589,142",N/A
NewGen Kwinana Holdings Pty Ltd,68116576955,"807,896","1,260","8,701,489",N/A
Newmont Australia Holdings Pty Ltd,95099040507,"444,212","756,182","10,251,179",N/A
NEWS AUSTRALIA HOLDINGS PTY LIMITED,32105197028,"4,178","97,044","468,329",N/A
NH Foods Australia Pty Ltd,87001548401,"67,693","50,059","836,473",N/A
Norske Skog Industries Australia Limited,50003902985,"215,203","131,171","7,890,063",N/A
NORTHERN STAR RESOURCES LIMITED,43092832892,"54,914","28,763","1,026,881",N/A
NORTHGATE AUSTRALIAN VENTURES CORPORATION PTY LTD,21128442375,"23,561","154,908","857,318",N/A
Norton Gold Fields Limited,23112287797,"58,706","75,709","1,214,194",N/A
Novion Limited,79167087363,"5,472","138,939","584,571",N/A
NRG VICTORIA I PTY LTD,26076286578,"6,586,877","46,815","50,141,221",N/A
NSW Trains,50325560455,"65,121","149,589","1,550,711",N/A
NUFARM LIMITED,37091323312,"12,081","47,812","366,830",N/A
Nyrstar Australia Pty Ltd,46124535468,"375,305","371,780","9,993,758",N/A
Olam Orchards Australia Pty Ltd,15139442532,"7,614","81,155","364,288",N/A
ORICA LIMITED,24004145868,"1,443,738","353,642","19,787,272",N/A
ORIGIN ENERGY LIMITED,30000051696,"12,287,156","119,428","160,518,053",N/A
Orora Limited,55004275165,"337,067","341,887","6,864,214",N/A
Owens-Illinois (Australia) Pty Ltd,30002060059,"365,600","247,899","6,370,810",N/A
OZ MINERALS LIMITED,40005482824,"231,389","195,896","4,509,933",N/A
OzGen Holdings Australia Pty Ltd,34128655096,"8,569,482","25,143","63,522,407","The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made. For further information refer to the 2013-14 greenhouse and energy information for designated generation facilities."
Pact Group Holdings Ltd,55145989644,"12,785","233,651","1,075,217",N/A
Panoramic Resources Limited,47095792288,"50,993","15,161","823,343",N/A
PAPER AUSTRALIA PTY LTD,63061583533,"394,028","257,169","16,582,007",N/A
PARMALAT AUSTRALIA PTY LTD,56072928879,"39,345","101,315","1,090,175",N/A
Peabody Australia Holdco Pty Ltd,61154820130,"2,881,779","272,913","11,135,179",N/A
PEAK GOLD ASIA PACIFIC PTY LTD,93103879054,"9,890","71,927","446,644",N/A
PECHINEY CONSOLIDATED AUSTRALIA PTY LTD,39076569769,"1,100,805","6,991,641","38,989,620",N/A
Penrice Soda Holdings Limited,83109193419,"96,667","11,880","715,323",N/A
PENTAIR FLOW CONTROL INTERNATIONAL PTY LIMITED,70129692495,"52,014","43,972","947,424",N/A
PERILYA LIMITED,85009193695,"10,714","122,012","659,800",N/A
PFD FOOD SERVICES PTY LTD,29006972381,"25,941","37,685","541,251",N/A
PMP Limited,39050148644,"10,120","70,388","460,827",N/A
PORT WARATAH COAL SERVICES LTD,99001363828,724,"131,748","555,042",N/A
POWER AND WATER CORPORATION,15947352360,"1,022,675","1,762","13,021,428",N/A
Pratt Consolidated Holdings Pty. Ltd.,43104958581,"343,202","1,033,477","21,142,559",N/A
PTTEP Australia Perth Pty Ltd,74134686525,"289,787",707,"3,551,684",N/A
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA,61850109576,"8,415","106,061","610,632",N/A
Qantas Airways Limited,16009661901,"4,611,620","183,826","68,446,859",N/A
QCoal Pty Ltd,99010911234,"201,885","31,192","1,518,990",N/A
QENOS HOLDINGS PTY LTD,62086026968,"823,177","189,077","32,552,128",N/A
QIC Limited,95942373762,"4,791","105,067","477,589",N/A
QNI Resources Pty. Ltd.,14054117921,"1,262,086","54,087","17,672,611",N/A
Qube Holdings Limited,14149723053,"222,520","12,982","3,256,053",N/A
QUEENSLAND ALUMINA LIMITED,98009725044,"3,039,245","622,644","41,600,780",N/A
QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82078849233,"15,640","1,170,527","5,187,477",N/A
Queensland Nitrates Pty Ltd,63079889268,"185,558","54,528","3,313,401",N/A
QUEENSLAND RAIL LIMITED,71132181090,"36,196","215,668","1,467,019",N/A
Ramelius Resources Limited,51001717540,"48,721","3,318","835,805",N/A
RAMSAY HEALTH CARE LIMITED,57001288768,"15,204","149,270","906,242",N/A
RATA INTERNATIONAL PTY LTD,67109036580,"9,625","53,272","347,480",N/A
RATCH - Australia Corporation Limited,31106617332,"176,098","6,358","2,311,293",N/A
RCI HOLDINGS PTY LTD,55101671121,"29,133","60,453","693,949",N/A
REDBANK ENERGY LIMITED,,,,,The Clean Energy Regulator did not receive a section 19 report for 2013-14 from this corporation.
REGIONAL EXPRESS HOLDINGS LIMITED,18099547270,"102,385",0,"1,477,879",N/A
REGIONAL POWER CORPORATION,57955011697,"40,625","38,167","748,230",N/A
Regis Resources Limited,28009174761,"175,927",0,"2,529,462",N/A
Remondis Australia Pty Ltd ,95002429781,"212,473","4,371","548,171",N/A
RESOLUTE MINING LIMITED,39097088689,"18,712","57,400","525,881",N/A
RICEGROWERS LIMITED,55007481156,"9,939","92,253","547,423",N/A
Ridley Corporation Limited,33006708765,"62,277","79,807","1,538,421",N/A
Rio Doce Australia Pty Limited,63112797403,"1,208,901","110,717","1,482,396",N/A
Rio Tinto Limited,96004458404,"8,955,777","9,142,745","155,475,759",N/A
RITCHIES STORES PROPRIETARY LIMITED,61005041814,"19,302","84,575","316,144",N/A
RON FINEMORE TRANSPORT PTY. LTD.,30106495087,"64,800",445,"982,561",N/A
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY,49781030034,"7,486","70,878","360,358",N/A
