Controlling corporation,ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
LOCHARD ENERGY (IONA OPERATIONS HOLDING) PTY LTD,23608441041,"70,216","4,738","1,225,527",-
LOY YANG HOLDINGS PTY LTD,60057361805,"10,119,555","3,097","79,765,331",-
LYONDELLBASELL AUSTRALIA (HOLDINGS) PTY LTD,74066270237,3,"86,990","219,572",-
MACKAY SUGAR LIMITED,12057463671,"129,068","10,731","17,110,214",-
MANILDRA MILLING PTY LTD,73002724021,"289,203","271,028","6,326,754",-
MARS AUSTRALIA PTY LTD,48008454313,"33,649","87,497","956,965",-
MATER MISERICORDIAE LTD,83096708922,"11,645","41,176","337,107",-
MCALEESE LIMITED,86156354068,"180,573","4,208","3,139,711",-
MCCAIN FOODS (AUST) PTY LTD,96000629587,"30,105","75,760","1,084,637",-
MCDONALD'S AUSTRALIA LIMITED,43008496928,"1,195","91,620","401,512",-
MELBOURNE WATER CORPORATION,81945386953,"199,923","233,074","1,507,811",-
METALS X LIMITED,25110150055,"105,362","21,750","1,632,833",-
METCASH LIMITED,32112073480,"9,437","88,059","478,475",-
METRO TRAINS MELBOURNE PTY LTD,43136429948,"5,401","523,016","1,747,716",-
METROPOLITAN HEALTH SERVICE,13993250709,"22,099","157,403","1,166,700",-
MINDARIE REGIONAL COUNCIL,17015003687,"56,323",0,"24,528",-
MINERAL RESOURCES LIMITED,33118549910,"101,769","1,898","1,463,900",-
MIRVAC LIMITED,92003280699,"6,170","76,587","421,048",-
MMG MANAGEMENT PTY LTD,33115312680,"82,273","190,102","2,757,168",-
MONASH HEALTH,82142080338,"11,197","65,218","426,062",-
MONASH UNIVERSITY,12377614012,"19,929","113,180","744,267",-
MONDELEZ AUSTRALIA HOLDINGS PTY LIMITED,86004880817,"25,489","56,132","774,804",-
MURRAY GOULBURN CO-OPERATIVE CO. LIMITED,23004277089,"241,750","293,058","5,403,147",-
MYER HOLDINGS LIMITED,14119085602,"1,423","157,428","681,010",-
NATIONAL AUSTRALIA BANK LIMITED,12004044937,"10,723","117,713","611,625",-
NBN CO LIMITED,86136533741,"6,378","69,413","379,750",-
NCIG HOLDINGS PTY LTD,98124700483,273,"66,091","288,597",-
NESTLE AUSTRALIA LTD,77000011316,"36,190","123,310","1,557,130",-
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD,23003502654,"117,287","128,693","2,678,718",-
NEWCREST MINING LIMITED,20005683625,"526,627","777,239","12,905,088",-
NEWGEN KWINANA HOLDINGS PTY LTD,68116576955,"766,556","4,059","8,205,747",-
NEWMARKET GOLD VICTORIAN HOLDINGS PTY LTD,21128442375,"24,765","153,944","888,140",-
NEWMONT AUSTRALIA HOLDINGS PTY LTD,95099040507,"358,342","764,701","8,794,184",-
