Registered Corporations,Scope 1,Scope 2,Scope 1+2,Energy Consumed
Incitec Pivot Limited,"1,070,161","199,125","1,269,286","26,213,822"
Independence Group NL,"38,429","15,448","53,877","900,054"
Inghams Enterprises Pty Limited,"90,644","226,566","317,210","2,027,017"
Integra Mining Limited,"24,877","28,889","53,767","487,460"
International Power (Australia) Holdings Pty Ltd,"18,816,787","247,037","19,063,824","214,523,529"
Investa Property Group Holdings Pty Limited,"3,781","81,540","85,321","379,051"
IPMG Pty Limited (Formally IPMG (Holdings) Pty Limited),"16,776","79,862","96,638","620,846"
Isaac Plains Coal Management Pty Ltd,"133,059","29,129","162,188","1,278,248"
ISPT Pty Ltd,"4,038","81,624","85,662","375,906"
J.J. Richards & Sons Pty Ltd,"62,669","4,327","66,996","922,781"
James Hardie Austgroup Pty Ltd,"28,856","62,179","91,035","691,072"
JBS Holdco Australia Pty Ltd,"208,841","167,795","376,636","2,564,625"
Jellinbah Group Pty Ltd,"208,139","7,954","216,092","1,859,877"
Jet Systems Pty Ltd,"150,428","1,869","152,297","2,170,571"
John Swire & Sons Pty Ltd,"16,251","70,119","86,369","513,067"
Kagara Ltd,"34,872","48,221","83,093","769,325"
Kalari Proprietary Limited,"72,535","2,093","74,628","1,047,564"
Kalgoorlie Consolidated Gold Mines Pty Ltd,"209,721","231,508","441,230","4,336,549"
Kellogg Australia Holdings Pty Ltd,"17,485","38,606","56,091","491,775"
Keolis Australia Pty Ltd,"2,309","110,277","112,587","349,038"
Kimberly Clark Pacific Holdings Pty Ltd,"66,525","170,297","236,822","2,735,404"
Koppers Australia Pty Ltd,"83,296","23,795","107,091","8,961,533"
Kraft Australia Holdings Pty Ltd,"31,533","76,348","107,880","939,670"
La Trobe University,"20,935","39,361","60,296","556,972"
LANCO RESOURCES AUSTRALIA PTY LTD,"127,854","9,277","137,131","1,146,114"
LDO Coal,"263,403","9,648","273,050","55,643"
LEIGHTON HOLDINGS LIMITED,"730,542","132,516","863,058","6,918,762"
LEND LEASE CORPORATION LIMITED,"102,164","186,225","288,388","2,191,979"
Lindsay Australia Limited,"83,327","4,891","88,218","1,212,549"
